Uniware SKU,Remark
JOPLST218-3XL,Diamond A
JOPLST218-4XL,Diamond A
JOPLST218-5XL,Diamond A
JOPLST218-6XL,Diamond A
JOPLST218-L,Diamond A
JOPLST218-M,Diamond A
JOPLST218-S,Diamond A
JOPLST218-XL,Diamond A
JOPLST218-XXL,Diamond A
JOPLVSRW4005-10XL,Diamond C
JOPLVSRW4005-3XL,Diamond A
JOPLVSRW4005-4XL,Diamond A
JOPLVSRW4005-5XL,Diamond A
JOPLVSRW4005-6XL,Diamond A
JOPLVSRW4005-7XL,Diamond A
JOPLVSRW4005-8XL,Diamond B
JOPLVSRW4005-9XL,Diamond C
JOPLVSRW4005-L,Diamond A
JOPLVSRW4005-M,Diamond A
JOPLVSRW4005-S,Diamond C
JOPLVSRW4005-XL,Diamond A
JOPLVSRW4005-XXL,Diamond A
JOPLVSMRW4250-10XL,Diamond C
JOPLVSMRW4250-3XL,Diamond A
JOPLVSMRW4250-4XL,Diamond A
JOPLVSMRW4250-5XL,Diamond A
JOPLVSMRW4250-6XL,Diamond A
JOPLVSMRW4250-7XL,Diamond A
JOPLVSMRW4250-8XL,Diamond C
JOPLVSMRW4250-9XL,Platinum A
JOPLVSMRW4250-L,Diamond B
JOPLVSMRW4250-M,Diamond C
JOPLVSMRW4250-S,Platinum B
JOPLVSMRW4250-XL,Diamond A
JOPLVSMRW4250-XXL,Diamond A
JOPLVSRW4147-10XL,Diamond B
JOPLVSRW4147-3XL,Diamond A
JOPLVSRW4147-4XL,Diamond A
JOPLVSRW4147-5XL,Diamond A
JOPLVSRW4147-6XL,Diamond A
JOPLVSRW4147-7XL,Diamond A
JOPLVSRW4147-8XL,Diamond C
JOPLVSRW4147-9XL,Platinum A
JOPLVSRW4147-L,Diamond A
JOPLVSRW4147-M,Diamond A
JOPLVSRW4147-S,Diamond A
JOPLVSRW4147-XL,Diamond A
JOPLVSRW4147-XXL,Diamond A
JOPLPDPRW1058-10XL,Platinum B
JOPLPDPRW1058-3XL,Diamond A
JOPLPDPRW1058-4XL,Diamond A
JOPLPDPRW1058-5XL,Diamond B
JOPLPDPRW1058-6XL,Diamond B
JOPLPDPRW1058-7XL,Diamond C
JOPLPDPRW1058-8XL,Platinum B
JOPLPDPRW1058-9XL,Platinum C
JOPLPDPRW1058-L,Diamond A
JOPLPDPRW1058-M,Diamond A
JOPLPDPRW1058-S,Diamond B
JOPLPDPRW1058-XL,Diamond A
JOPLPDPRW1058-XXL,Diamond A
JOPLLTRW2017-10XL,Diamond C
JOPLLTRW2017-3XL,Diamond A
JOPLLTRW2017-4XL,Diamond A
JOPLLTRW2017-5XL,Diamond A
JOPLLTRW2017-6XL,Diamond A
JOPLLTRW2017-7XL,Diamond A
JOPLLTRW2017-8XL,Diamond C
JOPLLTRW2017-9XL,Platinum A
JOPLLTRW2017-L,Diamond B
JOPLLTRW2017-M,Diamond B
JOPLLTRW2017-S,Platinum A
JOPLLTRW2017-XL,Diamond A
JOPLLTRW2017-XXL,Diamond A
JOPLLTRW2015-10XL,Diamond C
JOPLLTRW2015-3XL,Diamond A
JOPLLTRW2015-4XL,Diamond A
